"date","race id","class","title","start time","type","ClubMembershipRequired","comment"
"20-Sep-15",1,"la","Opening Day Pennants - la","30-Dec-99 10:15:00","mf","False",""
"20-Sep-15",2,"la","Opening Day Pennants - la","30-Dec-99 10:50:00","mf","False",""
"26-Sep-15",4,"la","Sprint racing","30-Dec-99 15:17:00","hcp","False",""
"26-Sep-15",5,"la","Sprint racing","30-Dec-99 15:46:00","hcp","False",""
"26-Sep-15",6,"la","Sprint racing","30-Dec-99 16:09:30","hcp","False",""
"26-Sep-15",7,"la","Sprint racing","30-Dec-99 16:39:00","hcp","False",""
"27-Sep-15",8,"la","Club racing","30-Dec-99 16:55:00","hcp","True",""
"27-Sep-15",9,"la","Club racing","30-Dec-99 17:42:00","hcp","True",""
"27-Sep-15",10,"pc","Club racing","30-Dec-99 16:59:00","hcp","True",""
"03-Oct-15",11,"la","Club racing","30-Dec-99 09:28:00","hcp","True",""
"03-Oct-15",12,"la","Club racing","30-Dec-99 11:15:00","hcp","True",""
"03-Oct-15",13,"la","Club racing","30-Dec-99 10:51:00","hcp","True",""
"03-Oct-15",14,"la","Club racing","30-Dec-99 11:57:00","hcp","True",""
"04-Oct-15",15,"la","Club racing","30-Dec-99 10:15:00","hcp","True",""
"04-Oct-15",16,"la","Club racing","30-Dec-99 10:50:00","hcp","True",""
"04-Oct-15",17,"la","Club racing","30-Dec-99 11:30:00","hcp","True",""
"04-Oct-15",18,"la","Club racing","30-Dec-99 12:08:30","hcp","True",""
"04-Oct-15",19,"op","Club racing","30-Dec-99 10:53:00","mf","True",""
"04-Oct-15",20,"op","Club racing","30-Dec-99 11:35:00","hcp","True",""
"03-Oct-15",21,"la","Club racing","30-Dec-99 11:57:00","hcp","True",""
"24-Oct-15",22,"la","Holiday pennants - la","30-Dec-99 14:14:00","hcp","True",""
"24-Oct-15",23,"la","Holiday pennants - la","30-Dec-99 14:50:00","hcp","True",""
"24-Oct-15",24,"la","Holiday pennants - la","30-Dec-99 15:22:00","hcp","True",""
"26-Oct-15",25,"la","Holiday pennants - la","30-Dec-99 15:44:00","hcp","True",""
"26-Oct-15",26,"la","Holiday pennants - la","30-Dec-99 16:25:00","hcp","True",""
"26-Oct-15",27,"la","Holiday pennants - la","30-Dec-99 17:09:00","hcp","True",""
"31-Oct-15",28,"la","Club racing","30-Dec-99 09:29:00","hcp","True",""
"31-Oct-15",29,"la","Club racing","30-Dec-99 10:29:00","hcp","True",""
"31-Oct-15",30,"la","Club racing","30-Dec-99 10:39:00","hcp","True",""
"31-Oct-15",31,"la","Club racing","30-Dec-99 11:12:00","hcp","True",""
"31-Oct-15",32,"la","Club racing","30-Dec-99 11:32:00","hcp","True",""
"31-Oct-15",33,"la","Club racing","30-Dec-99 11:45:00","hcp","True",""
"01-Nov-15",34,"la","Hobson Cup","30-Dec-99 09:44:00","hcp","True",""
"01-Nov-15",35,"la","Hobson Cup","30-Dec-99 10:23:00","hcp","True",""
"01-Nov-15",36,"la","Hobson Cup","30-Dec-99 10:54:00","hcp","True",""
"01-Nov-15",37,"la","Hobson Cup","30-Dec-99 11:21:00","hcp","True",""
"01-Nov-15",38,"la","Hobson Cup","30-Dec-99 11:49:00","hcp","True",""
"01-Nov-15",39,"op","Lyall Hallum Memorial Cup","30-Dec-99 10:01:00","hcp","True",""
"01-Nov-15",40,"op","Lyall Hallum Memorial Cup","30-Dec-99 11:00:00","hcp","True",""
"01-Nov-15",41,"op","Lyall Hallum Memorial Cup","30-Dec-99 11:32:00","hcp","True",""
"07-Nov-15",42,"la","Club racing","30-Dec-99 14:40:00","hcp","True",""
"07-Nov-15",43,"la","Club racing","30-Dec-99 15:27:00","hcp","True",""
"07-Nov-15",44,"la","Club racing","30-Dec-99 16:16:00","hcp","True",""
"08-Nov-15",45,"la","Club racing","30-Dec-99 15:18:00","hcp","True",""
"08-Nov-15",46,"la","Club racing","30-Dec-99 15:46:00","hcp","True",""
"08-Nov-15",47,"la","Club racing","30-Dec-99 16:14:00","hcp","True",""
"08-Nov-15",48,"la","Club racing","30-Dec-99 16:43:00","hcp","True",""
"08-Nov-15",49,"la","Club racing","30-Dec-99 17:11:00","hcp","True",""
"08-Nov-15",50,"la","Club racing","30-Dec-99 17:41:00","hcp","True",""
"21-Nov-15",51,"la","Club racing","30-Dec-99 12:57:00","hcp","True",""
"05-Dec-15",52,"la","Sprint racing","30-Dec-99 13:03:00","hcp","True",""
"05-Dec-15",53,"la","Sprint racing","30-Dec-99 13:37:00","hcp","True",""
"05-Dec-15",54,"la","Sprint racing","30-Dec-99 14:18:00","hcp","True",""
"05-Dec-15",55,"la","Sprint racing","30-Dec-99 14:55:00","hcp","True",""
"05-Dec-15",56,"la","Sprint racing","30-Dec-99 15:28:00","hcp","True",""
"06-Dec-15",57,"la","Club racing","30-Dec-99 13:57:00","hcp","True",""
"06-Dec-15",58,"la","Club racing","30-Dec-99 14:44:00","hcp","True",""
"06-Dec-15",59,"la","Club racing","30-Dec-99 15:29:00","hcp","True",""
"06-Dec-15",60,"la","Club racing","30-Dec-99 16:15:00","hcp","True",""
"19-Dec-15",61,"la","Sprint racing","30-Dec-99 11:28:00","hcp","True",""
"19-Dec-15",62,"la","Sprint racing","30-Dec-99 12:03:00","hcp","True",""
"19-Dec-15",63,"la","Sprint racing","30-Dec-99 12:31:00","hcp","True",""
"19-Dec-15",64,"la","Sprint racing","30-Dec-99 12:58:00","hcp","True",""
"20-Dec-15",65,"la","Club racing","30-Dec-99 12:28:00","hcp","True",""
"20-Dec-15",66,"la","Club racing","30-Dec-99 12:55:00","hcp","True",""
"20-Dec-15",67,"la","Club racing","30-Dec-99 13:17:00","hcp","True",""
"20-Dec-15",68,"la","Club racing","30-Dec-99 13:39:00","hcp","False",""
"20-Dec-15",69,"la","Club racing","30-Dec-99 14:03:00","hcp","True",""
"30-Jan-16",70,"la","Club sailing","30-Dec-99 10:27:00","hcp","True",""
"30-Jan-16",71,"la","Club sailing","30-Dec-99 11:12:00","hcp","True",""
"30-Jan-16",72,"la","Club sailing","30-Dec-99 11:51:00","hcp","True",""
"30-Jan-16",73,"la","Club sailing","30-Dec-99 12:31:00","hcp","True",""
"31-Jan-16",74,"la","Buxton cup","30-Dec-99 11:15:00","line","True",""
"30-Jan-16",75,"op","Club sailing","30-Dec-99 10:00:00","hcp","True",""
"31-Jan-16",76,"op","Dave Hewitt Memorial","30-Dec-99 11:46:00","hcp","True",""
"06-Feb-16",77,"la","Club racing","30-Dec-99 15:38:00","hcp","True",""
"06-Feb-16",78,"la","Club racing","30-Dec-99 16:22:00","hcp","True",""
"06-Feb-16",79,"op","Club racing","30-Dec-99 15:50:00","hcp","True",""
"06-Feb-16",80,"op","Club racing","30-Dec-99 16:45:00","hcp","True",""
"13-Feb-16",81,"la","Canty laser Champs full","30-Dec-99 09:23:00","line","False",""
"13-Feb-16",82,"la","Canty laser champs radial","30-Dec-99 09:23:00","line","False",""
"13-Feb-16",83,"la","Canty laser chanps 4.7","30-Dec-99 09:23:00","line","False",""
"13-Feb-16",84,"la","Canty laser Champs full","30-Dec-99 12:08:00","line","False",""
"13-Feb-16",85,"la","Canty laser champs radial","30-Dec-99 12:14:00","line","False",""
"13-Feb-16",86,"la","Canty laser chanps 4.7","30-Dec-99 12:14:00","line","False",""
"14-Feb-16",87,"la","Canty laser Champs full","30-Dec-99 10:42:00","line","False",""
"14-Feb-16",88,"la","Canty laser champs radial","30-Dec-99 10:48:00","line","False",""
"14-Feb-16",89,"la","Canty laser chanps 4.7","30-Dec-99 10:48:00","line","False",""
"14-Feb-16",90,"la","Canty laser Champs full","30-Dec-99 11:39:00","line","False",""
"14-Feb-16",91,"la","Canty laser champs radial","30-Dec-99 11:47:00","line","False",""
"14-Feb-16",92,"la","Canty laser chanps 4.7","30-Dec-99 11:47:00","line","False",""
"14-Feb-16",93,"la","Canty laser Champs full","30-Dec-99 12:35:00","line","False",""
"14-Feb-16",94,"la","Canty laser champs radial","30-Dec-99 12:44:00","line","False",""
"14-Feb-16",95,"la","Canty laser chanps 4.7","30-Dec-99 12:44:00","line","False",""
"14-Feb-16",96,"la","Canty laser Champs full","30-Dec-99 13:22:00","line","False",""
"14-Feb-16",97,"la","Canty laser champs radial","30-Dec-99 13:37:00","line","False",""
"14-Feb-16",98,"la","Canty laser chanps 4.7","30-Dec-99 13:37:00","line","False",""
"20-Feb-16",99,"la","Sprint racing Commodores Trophy","30-Dec-99 15:56:00","hcp","True",""
"20-Feb-16",101,"la","Sprint racing Commodores Trophy","30-Dec-99 16:54:00","hcp","True",""
"20-Feb-16",102,"la","Sprint racing Commodores Trophy","30-Dec-99 17:22:00","hcp","True",""
"20-Feb-16",103,"la","Sprint racing Commodores Trophy","30-Dec-99 17:52:00","hcp","True",""
"27-Feb-16",104,"la","Club racing","30-Dec-99 09:13:00","hcp","True",""
"27-Feb-16",105,"la","Club racing","30-Dec-99 10:11:00","hcp","True",""
"28-Feb-16",106,"la","Club racing","30-Dec-99 09:32:00","hcp","True",""
"28-Feb-16",107,"la","Club racing","30-Dec-99 10:22:00","hcp","True",""
"28-Feb-16",108,"la","Club racing","30-Dec-99 11:06:00","hcp","True",""
"28-Feb-16",109,"op","Club racing","30-Dec-99 09:35:00","hcp","True",""
"28-Feb-16",110,"op","Club racing","30-Dec-99 10:07:00","hcp","True",""
"28-Feb-16",111,"op","Club racing","30-Dec-99 10:37:00","hcp","True",""
"28-Feb-16",112,"op","club racing","30-Dec-99 11:12:00","hcp","True",""
"05-Mar-16",113,"la","Club racing","30-Dec-99 14:30:00","hcp","True",""
"05-Mar-16",114,"la","Club racing","30-Dec-99 15:01:00","hcp","True",""
"05-Mar-16",115,"la","Club racing","30-Dec-99 15:36:00","hcp","True",""
"05-Mar-16",116,"la","Club racing","30-Dec-99 16:05:00","hcp","True",""
"05-Mar-16",117,"la","Club racing","30-Dec-99 16:31:00","hcp","True",""
"12-Mar-16",118,"la","Club racing","30-Dec-99 09:25:00","hcp","True",""
"12-Mar-16",119,"la","Club racing","30-Dec-99 10:23:00","hcp","True",""
"12-Mar-16",120,"la","Club racing","30-Dec-99 10:46:00","hcp","True",""
"12-Mar-16",121,"la","Club racing","30-Dec-99 11:13:00","hcp","True",""
"12-Mar-16",122,"op","Club racing","30-Dec-99 09:53:00","hcp","True",""
"12-Mar-16",123,"op","Club racing","30-Dec-99 10:40:00","hcp","True",""
"19-Mar-16",124,"la","Club racing","30-Dec-99 14:53:00","hcp","True",""
"19-Mar-16",125,"la","Buddy pairs","30-Dec-99 15:50:00","hcp","True",""
"19-Mar-16",126,"la","Buddy pairs","30-Dec-99 16:35:00","hcp","True",""
"20-Mar-16",127,"la","club racing","30-Dec-99 15:32:00","hcp","True",""
"20-Mar-16",128,"ze","club racing","30-Dec-99 16:23:00","hcp","True",""
"20-Mar-16",129,"ze","club racing","30-Dec-99 15:32:00","hcp","True",""
"20-Mar-16",130,"ze","club racing","30-Dec-99 16:23:00","hcp","True",""
"02-Apr-16",131,"la","club racing","30-Dec-99 13:20:00","hcp","True",""
"02-Apr-16",132,"la","club racing","30-Dec-99 14:00:00","hcp","True",""
"02-Apr-16",133,"la","club racing","30-Dec-99 14:40:00","hcp","True",""
"02-Apr-16",134,"pc","club racing","30-Dec-99 14:00:00","hcp","True",""
"02-Apr-16",135,"pc","club racing","30-Dec-99 14:30:00","hcp","True",""
"03-Apr-16",136,"la","club racing","30-Dec-99 12:52:00","hcp","True",""
"03-Apr-16",137,"la","club racing","30-Dec-99 14:36:00","hcp","True",""
"16-Apr-16",138,"pc","Club racing","30-Dec-99 12:45:00","hcp","True",""
"16-Apr-16",139,"la","Club racing","30-Dec-99 12:30:00","hcp","True",""
"16-Apr-16",140,"la","Club racing","30-Dec-99 13:58:00","hcp","True",""
"16-Apr-16",141,"la","Club racing","30-Dec-99 14:40:00","hcp","True",""
"16-Apr-16",142,"la","Club racing","30-Dec-99 15:20:00","hcp","True",""
"05-Mar-16",143,"op","Club racing","30-Dec-99 14:30:00","hcp","True",""
"17-Apr-16",144,"la","Club racing","30-Dec-99 13:36:00","hcp","False",""
"17-Apr-16",145,"la","Club racing","30-Dec-99 14:10:00","hcp","False",""
"17-Apr-16",146,"la","Club racing","30-Dec-99 14:52:00","hcp","False",""
"17-Apr-16",147,"la","Club racing","30-Dec-99 15:35:00","hcp","False",""
"30-Apr-16",148,"la","Club racing","30-Dec-99 11:01:00","hcp","False",""
"30-Apr-16",149,"la","Club racing","30-Dec-99 12:00:00","hcp","False",""
"30-Apr-16",150,"la","club racing","30-Dec-99 13:00:00","hcp","False",""
"01-May-16",151,"la","Closing day pennants","30-Dec-99 12:00:00","line","False",""
"01-May-16",152,"0p","Closing Day Pennants","30-Dec-99 12:00:00","hcp","False",""
"01-May-16",153,"pc","Closing Day Pennants","30-Dec-99 12:00:00","hcp","False",""
"01-May-16",154,"Op","Old Mugs Race","30-Dec-99 13:00:00","hcp","False",""
